filename,label
\grid\bent\000.png,grid_bent
\grid\bent\001.png,grid_bent
\grid\bent\002.png,grid_bent
\grid\bent\003.png,grid_bent
\grid\bent\004.png,grid_bent
\grid\bent\005.png,grid_bent
\grid\bent\006.png,grid_bent
\grid\bent\007.png,grid_bent
\grid\bent\008.png,grid_bent
\grid\bent\009.png,grid_bent
\grid\bent\010.png,grid_bent
\grid\bent\011.png,grid_bent
\grid\broken\000.png,grid_broken
\grid\broken\001.png,grid_broken
\grid\broken\002.png,grid_broken
\grid\broken\003.png,grid_broken
\grid\broken\004.png,grid_broken
\grid\broken\005.png,grid_broken
\grid\broken\006.png,grid_broken
\grid\broken\007.png,grid_broken
\grid\broken\008.png,grid_broken
\grid\broken\009.png,grid_broken
\grid\broken\010.png,grid_broken
\grid\broken\011.png,grid_broken
\grid\glue\000.png,grid_glue
\grid\glue\001.png,grid_glue
\grid\glue\002.png,grid_glue
\grid\glue\003.png,grid_glue
\grid\glue\004.png,grid_glue
\grid\glue\005.png,grid_glue
\grid\glue\006.png,grid_glue
\grid\glue\007.png,grid_glue
\grid\glue\008.png,grid_glue
\grid\glue\009.png,grid_glue
\grid\glue\010.png,grid_glue
\grid\good\000.png,grid_good
\grid\good\001.png,grid_good
\grid\good\002.png,grid_good
\grid\good\003.png,grid_good
\grid\good\004.png,grid_good
\grid\good\005.png,grid_good
\grid\good\006.png,grid_good
\grid\good\007.png,grid_good
\grid\good\008.png,grid_good
\grid\good\009.png,grid_good
\grid\good\010.png,grid_good
\grid\good\011.png,grid_good
\grid\good\012.png,grid_good
\grid\good\013.png,grid_good
\grid\good\014.png,grid_good
\grid\good\015.png,grid_good
\grid\good\016.png,grid_good
\grid\good\017.png,grid_good
\grid\good\018.png,grid_good
\grid\good\019.png,grid_good
\grid\good\020.png,grid_good
\grid\metal_contamination\000.png,grid_metal_contamination
\grid\metal_contamination\001.png,grid_metal_contamination
\grid\metal_contamination\002.png,grid_metal_contamination
\grid\metal_contamination\003.png,grid_metal_contamination
\grid\metal_contamination\004.png,grid_metal_contamination
\grid\metal_contamination\005.png,grid_metal_contamination
\grid\metal_contamination\006.png,grid_metal_contamination
\grid\metal_contamination\007.png,grid_metal_contamination
\grid\metal_contamination\008.png,grid_metal_contamination
\grid\metal_contamination\009.png,grid_metal_contamination
\grid\metal_contamination\010.png,grid_metal_contamination
\grid\thread\000.png,grid_thread
\grid\thread\001.png,grid_thread
\grid\thread\002.png,grid_thread
\grid\thread\003.png,grid_thread
\grid\thread\004.png,grid_thread
\grid\thread\005.png,grid_thread
\grid\thread\006.png,grid_thread
\grid\thread\007.png,grid_thread
\grid\thread\008.png,grid_thread
\grid\thread\009.png,grid_thread
\grid\thread\010.png,grid_thread
\leather\color\000.png,leather_color
\leather\color\001.png,leather_color
\leather\color\002.png,leather_color
\leather\color\003.png,leather_color
\leather\color\004.png,leather_color
\leather\color\005.png,leather_color
\leather\color\006.png,leather_color
\leather\color\007.png,leather_color
\leather\color\008.png,leather_color
\leather\color\009.png,leather_color
\leather\color\010.png,leather_color
\leather\color\011.png,leather_color
\leather\color\012.png,leather_color
\leather\color\013.png,leather_color
\leather\color\014.png,leather_color
\leather\color\015.png,leather_color
\leather\color\016.png,leather_color
\leather\color\017.png,leather_color
\leather\color\018.png,leather_color
\leather\cut\000.png,leather_cut
\leather\cut\001.png,leather_cut
\leather\cut\002.png,leather_cut
\leather\cut\003.png,leather_cut
\leather\cut\004.png,leather_cut
\leather\cut\005.png,leather_cut
\leather\cut\006.png,leather_cut
\leather\cut\007.png,leather_cut
\leather\cut\008.png,leather_cut
\leather\cut\009.png,leather_cut
\leather\cut\010.png,leather_cut
\leather\cut\011.png,leather_cut
\leather\cut\012.png,leather_cut
\leather\cut\013.png,leather_cut
\leather\cut\014.png,leather_cut
\leather\cut\015.png,leather_cut
\leather\cut\016.png,leather_cut
\leather\cut\017.png,leather_cut
\leather\cut\018.png,leather_cut
\leather\fold\000.png,leather_fold
\leather\fold\001.png,leather_fold
\leather\fold\002.png,leather_fold
\leather\fold\003.png,leather_fold
\leather\fold\004.png,leather_fold
\leather\fold\005.png,leather_fold
\leather\fold\006.png,leather_fold
\leather\fold\007.png,leather_fold
\leather\fold\008.png,leather_fold
\leather\fold\009.png,leather_fold
\leather\fold\010.png,leather_fold
\leather\fold\011.png,leather_fold
\leather\fold\012.png,leather_fold
\leather\fold\013.png,leather_fold
\leather\fold\014.png,leather_fold
\leather\fold\015.png,leather_fold
\leather\fold\016.png,leather_fold
\leather\glue\000.png,leather_glue
\leather\glue\001.png,leather_glue
\leather\glue\002.png,leather_glue
\leather\glue\003.png,leather_glue
\leather\glue\004.png,leather_glue
\leather\glue\005.png,leather_glue
\leather\glue\006.png,leather_glue
\leather\glue\007.png,leather_glue
\leather\glue\008.png,leather_glue
\leather\glue\009.png,leather_glue
\leather\glue\010.png,leather_glue
\leather\glue\011.png,leather_glue
\leather\glue\012.png,leather_glue
\leather\glue\013.png,leather_glue
\leather\glue\014.png,leather_glue
\leather\glue\015.png,leather_glue
\leather\glue\016.png,leather_glue
\leather\glue\017.png,leather_glue
\leather\glue\018.png,leather_glue
\leather\good\000.png,leather_good
\leather\good\001.png,leather_good
\leather\good\002.png,leather_good
\leather\good\003.png,leather_good
\leather\good\004.png,leather_good
\leather\good\005.png,leather_good
\leather\good\006.png,leather_good
\leather\good\007.png,leather_good
\leather\good\008.png,leather_good
\leather\good\009.png,leather_good
\leather\good\010.png,leather_good
\leather\good\011.png,leather_good
\leather\good\012.png,leather_good
\leather\good\013.png,leather_good
\leather\good\014.png,leather_good
\leather\good\015.png,leather_good
\leather\good\016.png,leather_good
\leather\good\017.png,leather_good
\leather\good\018.png,leather_good
\leather\good\019.png,leather_good
\leather\good\020.png,leather_good
\leather\good\021.png,leather_good
\leather\good\022.png,leather_good
\leather\good\023.png,leather_good
\leather\good\024.png,leather_good
\leather\good\025.png,leather_good
\leather\good\026.png,leather_good
\leather\good\027.png,leather_good
\leather\good\028.png,leather_good
\leather\good\029.png,leather_good
\leather\good\030.png,leather_good
\leather\good\031.png,leather_good
\leather\poke\000.png,leather_poke
