filename,label
\bottle\broken_large\000.png,bottle_broken_large
\bottle\broken_large\001.png,bottle_broken_large
\bottle\broken_large\002.png,bottle_broken_large
\bottle\broken_large\003.png,bottle_broken_large
\bottle\broken_large\004.png,bottle_broken_large
\bottle\broken_large\005.png,bottle_broken_large
\bottle\broken_large\006.png,bottle_broken_large
\bottle\broken_large\007.png,bottle_broken_large
\bottle\broken_large\008.png,bottle_broken_large
\bottle\broken_large\009.png,bottle_broken_large
\bottle\broken_large\010.png,bottle_broken_large
\bottle\broken_large\011.png,bottle_broken_large
\bottle\broken_large\012.png,bottle_broken_large
\bottle\broken_large\013.png,bottle_broken_large
\bottle\broken_large\014.png,bottle_broken_large
\bottle\broken_large\015.png,bottle_broken_large
\bottle\broken_large\016.png,bottle_broken_large
\bottle\broken_large\017.png,bottle_broken_large
\bottle\broken_large\018.png,bottle_broken_large
\bottle\broken_large\019.png,bottle_broken_large
\bottle\broken_small\000.png,bottle_broken_small
\bottle\broken_small\001.png,bottle_broken_small
\bottle\broken_small\002.png,bottle_broken_small
\bottle\broken_small\003.png,bottle_broken_small
\bottle\broken_small\004.png,bottle_broken_small
\bottle\broken_small\005.png,bottle_broken_small
\bottle\broken_small\006.png,bottle_broken_small
\bottle\broken_small\007.png,bottle_broken_small
\bottle\broken_small\008.png,bottle_broken_small
\bottle\broken_small\009.png,bottle_broken_small
\bottle\broken_small\010.png,bottle_broken_small
\bottle\broken_small\011.png,bottle_broken_small
\bottle\broken_small\012.png,bottle_broken_small
\bottle\broken_small\013.png,bottle_broken_small
\bottle\broken_small\014.png,bottle_broken_small
\bottle\broken_small\015.png,bottle_broken_small
\bottle\broken_small\016.png,bottle_broken_small
\bottle\broken_small\017.png,bottle_broken_small
\bottle\broken_small\018.png,bottle_broken_small
\bottle\broken_small\019.png,bottle_broken_small
\bottle\broken_small\020.png,bottle_broken_small
\bottle\broken_small\021.png,bottle_broken_small
\bottle\contamination\000.png,bottle_contamination
\bottle\contamination\001.png,bottle_contamination
\bottle\contamination\002.png,bottle_contamination
\bottle\contamination\003.png,bottle_contamination
\bottle\contamination\004.png,bottle_contamination
\bottle\contamination\005.png,bottle_contamination
\bottle\contamination\006.png,bottle_contamination
\bottle\contamination\007.png,bottle_contamination
\bottle\contamination\008.png,bottle_contamination
\bottle\contamination\009.png,bottle_contamination
\bottle\contamination\010.png,bottle_contamination
\bottle\contamination\011.png,bottle_contamination
\bottle\contamination\012.png,bottle_contamination
\bottle\contamination\013.png,bottle_contamination
\bottle\contamination\014.png,bottle_contamination
\bottle\contamination\015.png,bottle_contamination
\bottle\contamination\016.png,bottle_contamination
\bottle\contamination\017.png,bottle_contamination
\bottle\contamination\018.png,bottle_contamination
\bottle\contamination\019.png,bottle_contamination
\bottle\contamination\020.png,bottle_contamination
\bottle\good\000.png,bottle_good
\bottle\good\001.png,bottle_good
\bottle\good\002.png,bottle_good
\bottle\good\003.png,bottle_good
\bottle\good\004.png,bottle_good
\bottle\good\005.png,bottle_good
\bottle\good\006.png,bottle_good
\bottle\good\007.png,bottle_good
